filepath,emotion,sentiment,transcription,true_sentiment,pred_sentiment
Savee/DC_d09.wav,disgust,unsatisfied,december and january and nice months to spended my army,unsatisfied,satisfied
Savee/DC_d10.wav,disgust,unsatisfied,if people were more generous there would be no need for warfare,unsatisfied,unsatisfied
Savee/DC_d11.wav,disgust,unsatisfied,if the farm is rented the rent must be paid,unsatisfied,unsatisfied
Savee/DC_d12.wav,disgust,unsatisfied,laboratory laboratory astrophysics,unsatisfied,satisfied
Savee/DC_d13.wav,disgust,unsatisfied,pretty soon a woman came along carrying a folded umbrella as a walking stick,unsatisfied,unsatisfied
Savee/DC_d14.wav,disgust,unsatisfied,how much and how many profits could a majority take out of the losses of a few,unsatisfied,unsatisfied
Savee/DC_d15.wav,disgust,unsatisfied,the society really exists as an entity over and above the agglomeration of men,unsatisfied,satisfied
Savee/DC_f01.wav,fear,unsatisfied,shell ye dark seat in crissy washwater whole year,unsatisfied,unsatisfied
Savee/DC_f02.wav,fear,unsatisfied,don't ask me to carry a noily rog like that,unsatisfied,unsatisfied
Savee/DC_f03.wav,fear,unsatisfied,will you tell me why,unsatisfied,satisfied
Savee/DC_f04.wav,fear,unsatisfied,call an ambol and some medical assistance,unsatisfied,unsatisfied
Savee/DC_f05.wav,fear,unsatisfied,tonedos offen te stroy acres of farmland,unsatisfied,unsatisfied
Savee/DC_f06.wav,fear,unsatisfied,straw hat are o a fashion this year,unsatisfied,satisfied
Savee/DC_f07.wav,fear,unsatisfied,that tiagramix sense only after much study,unsatisfied,unsatisfied
Savee/DC_f08.wav,fear,unsatisfied,special task forces rescue hostages from kidnappers,unsatisfied,satisfied
Savee/DC_f09.wav,fear,unsatisfied,the toth fare he forgot to come when rogers tooth fell out,unsatisfied,unsatisfied
Savee/DC_f10.wav,fear,unsatisfied,will robin wear a yellow lily,unsatisfied,satisfied
Savee/DC_f11.wav,fear,unsatisfied,their props were two step ladders a chair and a palm fan,unsatisfied,unsatisfied
Savee/DC_f12.wav,fear,unsatisfied,this is a problem that goes considerably beyond questions of salary and tenure,unsatisfied,unsatisfied
Savee/DC_f13.wav,fear,unsatisfied,the pulsing glow of a cigarette,unsatisfied,unsatisfied
Savee/DC_f14.wav,fear,unsatisfied,one looked down on the sea of leaves a breaking wave of flower,unsatisfied,satisfied
Savee/DC_f15.wav,fear,unsatisfied,we will achieve a more vivid sense of what it is by realizing what it is not,unsatisfied,satisfied
Savee/DC_h01.wav,happy,satisfied,she had your dark suit in greasy washorder ole year,satisfied,unsatisfied
Savee/DC_h02.wav,happy,satisfied,don't ask me to carry an oily rag like that,satisfied,unsatisfied
Savee/DC_h03.wav,happy,satisfied,will you tell me why,satisfied,satisfied
Savee/DC_h04.wav,happy,satisfied,those musicians harmonized marvelously,satisfied,satisfied
Savee/DC_h05.wav,happy,satisfied,the eastern coast is a place for pure pleasure and excitement,satisfied,satisfied
Savee/DC_h06.wav,happy,satisfied,that nice problem grows more aniyghing each day,satisfied,unsatisfied
Savee/DC_h07.wav,happy,satisfied,project development was proceeding too slowly,satisfied,unsatisfied
Savee/DC_h08.wav,happy,satisfied,te wastis was marage,satisfied,unsatisfied
Savee/DC_h09.wav,happy,satisfied,are you great higher or lower than nancies,satisfied,satisfied
Savee/DC_h10.wav,happy,satisfied,save the colslow after i add the oil,satisfied,unsatisfied
Savee/DC_h11.wav,happy,satisfied,by that one feels that magnetic forces are as general as electrical forces,satisfied,unsatisfied
Savee/DC_h12.wav,happy,satisfied,his artistic accomplishments guaranteed him entry into any social gathering,satisfied,satisfied
Savee/DC_h13.wav,happy,satisfied,he would not carry a brief case,satisfied,unsatisfied
Savee/DC_h14.wav,happy,satisfied,obviously the bridle pair has many adjustments to make for the new situation,satisfied,unsatisfied
Savee/DC_h15.wav,happy,satisfied,both the conditions and the complicity are documented in considerable details,satisfied,satisfied
Savee/DC_n01.wav,neutral,neutral,she had your dark suit in greasy washwater all yeur,neutral,unsatisfied
Savee/DC_n02.wav,neutral,neutral,don't ask me to carry an ily rag like that,neutral,unsatisfied
Savee/DC_n03.wav,neutral,neutral,will you tell me why,neutral,satisfied
Savee/DC_n04.wav,neutral,neutral,the best we to learn is the soul of extra problems,neutral,satisfied
Savee/DC_n05.wav,neutral,neutral,calcia mixed bones and teeth strong,neutral,unsatisfied
Savee/DC_n06.wav,neutral,neutral,catestrophic economic cutbacks neglect the poor,neutral,unsatisfied
Savee/DC_n07.wav,neutral,neutral,a low lee way here but rationalize all errors,neutral,unsatisfied
Savee/DC_n08.wav,neutral,neutral,gregg buys fresh milk each week day morning,neutral,satisfied
Savee/DC_n09.wav,neutral,neutral,agricultural products are unevenly distributed,neutral,unsatisfied
Savee/DC_n10.wav,neutral,neutral,the nearest sinagogue may not be within walking distance,neutral,unsatisfied
Savee/DC_n11.wav,neutral,neutral,as such it was beyond politics and had no need of justification by a message,neutral,unsatisfied
Savee/DC_n12.wav,neutral,neutral,he always seemed to have money in his pocket,neutral,unsatisfied
Savee/DC_n13.wav,neutral,neutral,nor return address whatsoever,neutral,unsatisfied
Savee/DC_n14.wav,neutral,neutral,keep your seats boys i just want to put some finishing touches on this thing,neutral,satisfied
Savee/DC_n15.wav,neutral,neutral,he ripped down the cala fin carefully and laid three dogs on the tin file,neutral,unsatisfied
Savee/DC_n16.wav,neutral,neutral,she had your dark suit in greasy washwater all year,neutral,unsatisfied
Savee/DC_n17.wav,neutral,neutral,don't ask me to carry an oily rag like that,neutral,unsatisfied
Savee/DC_n18.wav,neutral,neutral,will you tell me why,neutral,satisfied
Savee/DC_n19.wav,neutral,neutral,who authorized the unlimited expense account,neutral,unsatisfied
Savee/DC_n20.wav,neutral,neutral,destroy every file related to my ordits,neutral,unsatisfied
Savee/DC_n21.wav,neutral,neutral,please take this dirty table cloth to the cleanest for me,neutral,unsatisfied
Savee/DC_n22.wav,neutral,neutral,the small body put the worm on the hook,neutral,unsatisfied
Savee/DC_n23.wav,neutral,neutral,callan ambulance for medical assistance,neutral,unsatisfied
Savee/DC_n24.wav,neutral,neutral,tornadoes often destroy acres of farmland,neutral,unsatisfied
Savee/DC_n25.wav,neutral,neutral,the carpet clean us shampooed our oriental rag,neutral,unsatisfied
Savee/DC_n26.wav,neutral,neutral,his shoulder felt as if it were broken,neutral,unsatisfied
Savee/DC_n27.wav,neutral,neutral,the prospect of cutting back spending is an unpleasant one for any governor,neutral,unsatisfied
Savee/DC_n28.wav,neutral,neutral,the diagnosis was discouraging however he was not ovelly worried,neutral,satisfied
Savee/DC_n29.wav,neutral,neutral,those musicians harmonize marvelously,neutral,satisfied
Savee/DC_n30.wav,neutral,neutral,the eastern coast is a place for purer pleasure and excitement,neutral,satisfied
Savee/DC_sa01.wav,sad,unsatisfied,she had your dark seat in greasy wash water whole year,unsatisfied,unsatisfied
Savee/DC_sa02.wav,sad,unsatisfied,to dask me to carry an oily rag like that,unsatisfied,unsatisfied
Savee/DC_sa03.wav,sad,unsatisfied,will you tell me why,unsatisfied,satisfied
Savee/DC_sa04.wav,sad,unsatisfied,the prospect of cutting back spending is an unpleasant one for any governor,unsatisfied,unsatisfied
Savee/DC_sa05.wav,sad,unsatisfied,the diagnosis was discouraging however he was not overly worried,unsatisfied,satisfied
Savee/DC_sa06.wav,sad,unsatisfied,before third days examin review every formula,unsatisfied,unsatisfied
Savee/DC_sa07.wav,sad,unsatisfied,they enjoy it when i or dition,unsatisfied,satisfied
Savee/DC_sa08.wav,sad,unsatisfied,john clean shell fish for a living,unsatisfied,satisfied
Savee/DC_sa09.wav,sad,unsatisfied,he stole a diame from a beggar,unsatisfied,unsatisfied
Savee/DC_sa10.wav,sad,unsatisfied,jeoff thought you argued in favor of a cendrephud's purchase,unsatisfied,unsatisfied
Savee/DC_sa11.wav,sad,unsatisfied,however the litter remained augmented by several dozen lunchroom suppers,unsatisfied,unsatisfied
Savee/DC_sa12.wav,sad,unsatisfied,american newspaper reviewers like to call his please niilistic,unsatisfied,satisfied
Savee/DC_sa13.wav,sad,unsatisfied,but the ships are very slow now and we don't get so many sailors any more,unsatisfied,unsatisfied
Savee/DC_sa14.wav,sad,unsatisfied,it is one of the rare public ventures here on which neely every one is agreed,unsatisfied,satisfied
Savee/DC_sa15.wav,sad,unsatisfied,no manufacturer has taken the initiative in pointing out the costs involved,unsatisfied,unsatisfied
Savee/DC_su01.wav,surprise,neutral,shoull ye dark seating greasy washwater all ye,neutral,unsatisfied
Savee/DC_su02.wav,surprise,neutral,don't ask me to carry an oily rag like that,neutral,unsatisfied
Savee/DC_su03.wav,surprise,neutral,will you tell me why,neutral,satisfied
Savee/DC_su04.wav,surprise,neutral,the carpet cleanes champooed our oriental rugg,neutral,satisfied
Savee/DC_su05.wav,surprise,neutral,his shoulder felt as if hit were broken,neutral,unsatisfied
Savee/DC_su06.wav,surprise,neutral,the vewpoint overlooked the ocean,neutral,satisfied
Savee/DC_su07.wav,surprise,neutral,i'd write the subway but i haven't enough change,neutral,unsatisfied
Savee/DC_su08.wav,surprise,neutral,the clumsy customer spilt some expensive perfume,neutral,unsatisfied
Savee/DC_su09.wav,surprise,neutral,please dig my potatoes up befor frost,neutral,unsatisfied
Savee/DC_su10.wav,surprise,neutral,grandmother outgrew her up bringing in peddicots,neutral,unsatisfied
Savee/DC_su11.wav,surprise,neutral,salvation reconsidered,neutral,satisfied
Savee/DC_su12.wav,surprise,neutral,properly use the present book is in an excellent instrument of enlightenment,neutral,satisfied
Savee/DC_su13.wav,surprise,neutral,lighted windows glowed jild bright through the downpor,neutral,unsatisfied
Savee/DC_su14.wav,surprise,neutral,but this doesn't detract from its merit as an interesting if not great film,neutral,satisfied
Savee/DC_su15.wav,surprise,neutral,he further proposed grants of an unspecified sum for experimental hospitals,neutral,unsatisfied
Savee/JE_a01.wav,angry,unsatisfied,she had your dart souse and greasy wash water all year,unsatisfied,unsatisfied
Savee/JE_a02.wav,angry,unsatisfied,don't ask me so caronorly ragg like that,unsatisfied,unsatisfied
Savee/JE_a03.wav,angry,unsatisfied,will you tel me why,unsatisfied,unsatisfied
Savee/JE_a04.wav,angry,unsatisfied,who authorized you unlimited expense accounts,unsatisfied,unsatisfied
Savee/JE_a05.wav,angry,unsatisfied,destroy every fire relathes my audits,unsatisfied,unsatisfied
Savee/JE_a06.wav,angry,unsatisfied,cori an trich played tag with beechbords for hours,unsatisfied,unsatisfied
Savee/JE_a07.wav,angry,unsatisfied,he will allow a rare lie,unsatisfied,unsatisfied
Savee/JE_a08.wav,angry,unsatisfied,withdraw all phony accusations at once,unsatisfied,unsatisfied
Savee/JE_a09.wav,angry,unsatisfied,right now may not be the best time for business merges,unsatisfied,unsatisfied
Savee/JE_a10.wav,angry,unsatisfied,kindergard en children decorate their classings for all holidays,unsatisfied,satisfied
Savee/JE_a11.wav,angry,unsatisfied,a few years later the dome fell in,unsatisfied,unsatisfied
Savee/JE_a12.wav,angry,unsatisfied,but in the one section we welcomed auditors,unsatisfied,satisfied
Savee/JE_a13.wav,angry,unsatisfied,lot of people roam the streets in cossumes and masts in having a ball,unsatisfied,unsatisfied
Savee/JE_a14.wav,angry,unsatisfied,in many of his poem's death comes by train a strongly evocatave visual image,unsatisfied,satisfied
Savee/JE_a15.wav,angry,unsatisfied,then he would realize they were really things that only he himself could think,unsatisfied,unsatisfied
Savee/JE_d01.wav,disgust,unsatisfied,shut you dark sup and greasy washwater all year,unsatisfied,unsatisfied
Savee/JE_d02.wav,disgust,unsatisfied,don't ask me to carry an all y rag like that,unsatisfied,unsatisfied
Savee/JE_d03.wav,disgust,unsatisfied,will you tell ye why,unsatisfied,satisfied
Savee/JE_d04.wav,disgust,unsatisfied,please take this dirty tablecloths the cleanest for me,unsatisfied,unsatisfied
Savee/JE_d05.wav,disgust,unsatisfied,the small boy put the worm on the hook,unsatisfied,unsatisfied
Savee/JE_d06.wav,disgust,unsatisfied,baskit bull could be then seeing sport,unsatisfied,satisfied
Savee/JE_d07.wav,disgust,unsatisfied,how good is your endurance,unsatisfied,satisfied
Savee/JE_d08.wav,disgust,unsatisfied,bah burn paper and leads you the big bonfire,unsatisfied,satisfied
Savee/JE_d09.wav,disgust,unsatisfied,cember and january a nice month to spend in my amme,unsatisfied,satisfied
Savee/JE_d10.wav,disgust,unsatisfied,people ware more generous there w'ld be no need for welfare,unsatisfied,satisfied
Savee/JE_d11.wav,disgust,unsatisfied,the farmers rented the rent was repaid,unsatisfied,unsatisfied
Savee/JE_d12.wav,disgust,unsatisfied,the bargiastraphysics,unsatisfied,unsatisfied
Savee/JE_d13.wav,disgust,unsatisfied,pretty soon a women came along carrying a folded umbrellaies of walking stick,unsatisfied,unsatisfied
Savee/JE_d14.wav,disgust,unsatisfied,how much and how many profits could a majority take out the losss of a few,unsatisfied,unsatisfied
Savee/JE_d15.wav,disgust,unsatisfied,the society really exists as i mensiy overand above the egglomeration of men,unsatisfied,satisfied
Savee/JE_f01.wav,fear,unsatisfied,she had your dark seats and greasy washwater all year,unsatisfied,unsatisfied
Savee/JE_f02.wav,fear,unsatisfied,don't ask me to carry an oily rag like that,unsatisfied,unsatisfied
Savee/JE_f03.wav,fear,unsatisfied,will ie toby why,unsatisfied,unsatisfied
Savee/JE_f04.wav,fear,unsatisfied,cautan ambulance from medical assistance,unsatisfied,unsatisfied
Savee/JE_f05.wav,fear,unsatisfied,tornados often destroy acres of farmland,unsatisfied,unsatisfied
Savee/JE_f06.wav,fear,unsatisfied,straw hats are out of fashion monsieur,unsatisfied,unsatisfied
Savee/JE_f07.wav,fear,unsatisfied,that darkrm makes sense only half too much study,unsatisfied,unsatisfied
Savee/JE_f08.wav,fear,unsatisfied,special task forces rescue hostages from kidnappers,unsatisfied,satisfied
Savee/JE_f09.wav,fear,unsatisfied,the tooth fairy forgot to come when roger's tooth fell out,unsatisfied,unsatisfied
Savee/JE_f10.wav,fear,unsatisfied,we'll rob in where a yellow lily,unsatisfied,unsatisfied
Savee/JE_f11.wav,fear,unsatisfied,their props for two steploters a chair and a palm firm,unsatisfied,unsatisfied
Savee/JE_f12.wav,fear,unsatisfied,this is a problem that goe considerably beyond questions of sarantena,unsatisfied,unsatisfied
Savee/JE_f13.wav,fear,unsatisfied,the pulsing glove is cigarette,unsatisfied,unsatisfied
Savee/JE_f14.wav,fear,unsatisfied,one looked down on the sea of leaves the breaking wave of flower,unsatisfied,satisfied
Savee/JE_f15.wav,fear,unsatisfied,we will achieve a more vivid sense diwatitis by realising what tis not,unsatisfied,unsatisfied
Savee/JE_h01.wav,happy,satisfied,she had your dark suse and greasy washwater all year,satisfied,unsatisfied
Savee/JE_h02.wav,happy,satisfied,don't ask miss carrin all he rag like that,satisfied,unsatisfied
Savee/JE_h03.wav,happy,satisfied,will it tell me why,satisfied,unsatisfied
Savee/JE_h04.wav,happy,satisfied,those musicians harmonized marvellously,satisfied,satisfied
Savee/JE_h05.wav,happy,satisfied,the eastern coast is a place for pure pleasure and excitement,satisfied,satisfied
Savee/JE_h06.wav,happy,satisfied,that noise problem grows more annoying each day,satisfied,unsatisfied
Savee/JE_h07.wav,happy,satisfied,project development was peating too slowly,satisfied,unsatisfied
Savee/JE_h08.wav,happy,satisfied,the aasis was a grage,satisfied,unsatisfied
Savee/JE_h09.wav,happy,satisfied,are your grace higher or lower than thances,satisfied,satisfied
Savee/JE_h10.wav,happy,satisfied,serve the costal after i have the oil,satisfied,unsatisfied
Savee/JE_h11.wav,happy,satisfied,by that one feels that magnetic forces are as general as electrical forces,satisfied,unsatisfied
Savee/JE_h12.wav,happy,satisfied,his artistic accomplishments guaranteed dimentary is any social gathering,satisfied,satisfied
Savee/JE_h13.wav,happy,satisfied,he would not carry a brief case,satisfied,unsatisfied
Savee/JE_h14.wav,happy,satisfied,obviously the bridal pair has many adjustments to make their new situation,satisfied,unsatisfied
Savee/JE_h15.wav,happy,satisfied,both the conditions and the complicity are documented in considerable details,satisfied,satisfied
Savee/JE_n01.wav,neutral,neutral,she had your dark suit and greasy wash water all year,neutral,unsatisfied
Savee/JE_n02.wav,neutral,neutral,don't ask me to carry an oily rag like that,neutral,unsatisfied
Savee/JE_n03.wav,neutral,neutral,will ye tell me why,neutral,unsatisfied
Savee/JE_n04.wav,neutral,neutral,the best way to learn is to solve extra problems,neutral,unsatisfied
Savee/JE_n05.wav,neutral,neutral,causium makes bones and teeth strong,neutral,satisfied
Savee/JE_n06.wav,neutral,neutral,catestrophic economic cut bats neglect the poor,neutral,unsatisfied
Savee/JE_n07.wav,neutral,neutral,allow lee way here but rationalize all errors,neutral,unsatisfied
Savee/JE_n08.wav,neutral,neutral,gregg buys fresh milk each week day morning,neutral,satisfied
Savee/JE_n09.wav,neutral,neutral,agricultural products are unevenly distributed,neutral,unsatisfied
Savee/JE_n10.wav,neutral,neutral,the nearest synegogue may not be within walking distance,neutral,unsatisfied
Savee/JE_n11.wav,neutral,neutral,as such it was beyond politics and had no need of justification by a message,neutral,unsatisfied
Savee/JE_n12.wav,neutral,neutral,he always seemed to have money in his pocket,neutral,unsatisfied
Savee/JE_n13.wav,neutral,neutral,no return addressed whatever,neutral,unsatisfied
Savee/JE_n14.wav,neutral,neutral,keep your seats boys i just want to put some finishing touches on this thing,neutral,satisfied
Savee/JE_n15.wav,neutral,neutral,he ripped down the celephane carefully and laid three dogs on the tinfoil,neutral,unsatisfied
Savee/JE_n16.wav,neutral,neutral,she had your dark suit an greasy wash water all year,neutral,unsatisfied
Savee/JE_n17.wav,neutral,neutral,don't ask me to carry an all he ragged like that,neutral,unsatisfied
Savee/JE_n18.wav,neutral,neutral,will you tell me why,neutral,satisfied
Savee/JE_n19.wav,neutral,neutral,who authorized the unlimited expense count,neutral,unsatisfied
Savee/JE_n20.wav,neutral,neutral,destroy every file related to my audits,neutral,unsatisfied
Savee/JE_n21.wav,neutral,neutral,please take this dirty tablecloth to the cleanest for me,neutral,unsatisfied
Savee/JE_n22.wav,neutral,neutral,the small boy put the worm on the hook,neutral,unsatisfied
Savee/JE_n23.wav,neutral,neutral,call an ambulance for medical assistance,neutral,unsatisfied
Savee/JE_n24.wav,neutral,neutral,tornadoes often destroy acres of farmland,neutral,unsatisfied
Savee/JE_n25.wav,neutral,neutral,the carpet cleamers champooed our oriental rug,neutral,unsatisfied
Savee/JE_n26.wav,neutral,neutral,his shoulder felt as if it were broken,neutral,unsatisfied
Savee/JE_n27.wav,neutral,neutral,the prospect of cutting back spending is an unpleasant one for any governor,neutral,unsatisfied
Savee/JE_n28.wav,neutral,neutral,the diagnotis was discouraging however he was not overly worried,neutral,satisfied
Savee/JE_n29.wav,neutral,neutral,those musicians harmonize marvellously,neutral,satisfied
Savee/JE_n30.wav,neutral,neutral,the eastin coast is a place for pure pleasure and excitement,neutral,satisfied
Savee/JE_sa01.wav,sad,unsatisfied,she had your dark sout and greasy wash water all year,unsatisfied,unsatisfied
Savee/JE_sa02.wav,sad,unsatisfied,don't ask me to carry an oily rag like that,unsatisfied,unsatisfied
Savee/JE_sa03.wav,sad,unsatisfied,will you tell me why,unsatisfied,satisfied
Savee/JE_sa04.wav,sad,unsatisfied,the prospect of cutting back spending is an unpleasant one for any governor,unsatisfied,unsatisfied
Savee/JE_sa05.wav,sad,unsatisfied,the diagnotices was discouraging however he was not ovally worried,unsatisfied,satisfied
Savee/JE_sa06.wav,sad,unsatisfied,before thursday's exam review every formula,unsatisfied,unsatisfied
Savee/JE_sa07.wav,sad,unsatisfied,they enjoy it when i adition,unsatisfied,satisfied
Savee/JE_sa08.wav,sad,unsatisfied,john cleans shellfish for a living,unsatisfied,satisfied
Savee/JE_sa09.wav,sad,unsatisfied,he stole a dime from a beggar,unsatisfied,unsatisfied
Savee/JE_sa10.wav,sad,unsatisfied,jeff thought you argued in favor of a centrifuge purchase,unsatisfied,unsatisfied
Savee/JE_sa11.wav,sad,unsatisfied,however the litter remained augmented by several dozen lunchream suppers,unsatisfied,unsatisfied
Savee/JE_sa12.wav,sad,unsatisfied,american newspaper review is like to call his plays nialistic,unsatisfied,unsatisfied
Savee/JE_sa13.wav,sad,unsatisfied,but the ships are very slow now and we don't get so many sailers any more,unsatisfied,unsatisfied
Savee/JE_sa14.wav,sad,unsatisfied,it is one of the rare public ventures here on which nearly every one is agreed,unsatisfied,satisfied
Savee/JE_sa15.wav,sad,unsatisfied,the manufacturer has taken the initiative in pointing out the costs involved,unsatisfied,satisfied
Savee/JE_su01.wav,surprise,neutral,shant your dark hue o greasty wash water all year,neutral,satisfied
Savee/JE_su02.wav,surprise,neutral,don't ask me to carry an ordy rack like that,neutral,unsatisfied
Savee/JE_su03.wav,surprise,neutral,wee tell me why,neutral,unsatisfied
Savee/JE_su04.wav,surprise,neutral,the carpet clean is champoo te orental rug,neutral,unsatisfied
Savee/JE_su05.wav,surprise,neutral,his shoulder felt as if it were broken,neutral,unsatisfied
Savee/JE_su06.wav,surprise,neutral,the viewpoint overlooked the ocean,neutral,satisfied
Savee/JE_su07.wav,surprise,neutral,i'd ride the subboy but a hamtonogh change,neutral,unsatisfied
Savee/JE_su08.wav,surprise,neutral,the clumsy cust them a spilts om expensive perfume,neutral,unsatisfied
Savee/JE_su09.wav,surprise,neutral,please dig my potatoes up before frost,neutral,unsatisfied
Savee/JE_su10.wav,surprise,neutral,grandmother outgrew her up bringing petticoats,neutral,unsatisfied
Savee/JE_su11.wav,surprise,neutral,salvation reconsidered,neutral,satisfied
Savee/JE_su12.wav,surprise,neutral,properly used the present book is an excellent instrument of enlightenment,neutral,satisfied
Savee/JE_su13.wav,surprise,neutral,lighted windows glowed dewel bright through the downpall,neutral,satisfied
Savee/JE_su14.wav,surprise,neutral,but this doesn't detract from its merit is an interesting if not great film,neutral,satisfied
Savee/JE_su15.wav,surprise,neutral,he further proposed grants of an unspecified sum for experimental hospitals,neutral,unsatisfied
Savee/JK_a01.wav,angry,unsatisfied,she had your dark suit in greasy wash water all year,unsatisfied,unsatisfied
Savee/JK_a02.wav,angry,unsatisfied,don't ask me to carry an oily rag like that,unsatisfied,unsatisfied
Savee/JK_a03.wav,angry,unsatisfied,will you tell me why,unsatisfied,satisfied
Savee/JK_a04.wav,angry,unsatisfied,who authorized the unlimited expense accounts,unsatisfied,satisfied
Savee/JK_a05.wav,angry,unsatisfied,destroy every file related to my ordits,unsatisfied,unsatisfied
Savee/JK_a06.wav,angry,unsatisfied,cory an trich played tag with beech balls for hours,unsatisfied,unsatisfied
Savee/JK_a07.wav,angry,unsatisfied,he will allow a rare lie,unsatisfied,unsatisfied
Savee/JK_a08.wav,angry,unsatisfied,withdraw all fony accusations at once,unsatisfied,unsatisfied
Savee/JK_a09.wav,angry,unsatisfied,right now may not be the best time for business murgers,unsatisfied,unsatisfied
Savee/JK_a10.wav,angry,unsatisfied,kindergart an children decorate their classrooms for all holidays,unsatisfied,satisfied
Savee/JK_a11.wav,angry,unsatisfied,a few years later the dome fell in,unsatisfied,unsatisfied
Savee/JK_a12.wav,angry,unsatisfied,but in this one section we welcomed auditors,unsatisfied,satisfied
Savee/JK_a13.wav,angry,unsatisfied,lots of people will roam the streets in costumes and masks and having a ball,unsatisfied,satisfied
Savee/JK_a14.wav,angry,unsatisfied,in many of his poems death comes by train a strongly evocative visual image,unsatisfied,satisfied
Savee/JK_a15.wav,angry,unsatisfied,then he would realize they were really things that only he himself could think,unsatisfied,unsatisfied
Savee/JK_d01.wav,disgust,unsatisfied,she had your dark suit in greasy washwater all year,unsatisfied,unsatisfied
Savee/JK_d02.wav,disgust,unsatisfied,don't ask me to carry an oily rag like that,unsatisfied,unsatisfied
Savee/JK_d03.wav,disgust,unsatisfied,will you tell me why,unsatisfied,satisfied
Savee/JK_d04.wav,disgust,unsatisfied,please take this dirty tablecloth to the cleaners for me,unsatisfied,unsatisfied
Savee/JK_d05.wav,disgust,unsatisfied,the small boy put the worm on the hook,unsatisfied,unsatisfied
Savee/JK_d06.wav,disgust,unsatisfied,basket ball can be an entertaining sport,unsatisfied,satisfied
Savee/JK_d07.wav,disgust,unsatisfied,how good is your endurance,unsatisfied,satisfied
Savee/JK_d08.wav,disgust,unsatisfied,bab burn paper and leaves in a big bonfire,unsatisfied,unsatisfied
Savee/JK_d09.wav,disgust,unsatisfied,december and january a nice months to spend in my ammy,unsatisfied,satisfied
Savee/JK_d10.wav,disgust,unsatisfied,if people were more generous there would be no need for welfare,unsatisfied,unsatisfied
Savee/JK_d11.wav,disgust,unsatisfied,if the farm is rented the rent must be paid,unsatisfied,unsatisfied
Savee/JK_d12.wav,disgust,unsatisfied,laboratory astrophysics,unsatisfied,satisfied
Savee/JK_d13.wav,disgust,unsatisfied,pretty soon a woman came along carrying a folded umbrella as a walking stick,unsatisfied,unsatisfied
Savee/JK_d14.wav,disgust,unsatisfied,how much and how many profits could a majority take out of the losses of a few,unsatisfied,unsatisfied
Savee/JK_d15.wav,disgust,unsatisfied,does society really exist as an entity over and above the egglomeration of men,unsatisfied,satisfied
Savee/JK_f01.wav,fear,unsatisfied,she had your dark suit in greasy washwater all year,unsatisfied,unsatisfied
Savee/JK_f02.wav,fear,unsatisfied,don't ask me to carry an oily rag like that,unsatisfied,unsatisfied
Savee/JK_f03.wav,fear,unsatisfied,will you tell me why,unsatisfied,satisfied
Savee/JK_f04.wav,fear,unsatisfied,call an ambulance for medical assistance,unsatisfied,unsatisfied
Savee/JK_f05.wav,fear,unsatisfied,tornadoes often destroy acres of farmland,unsatisfied,unsatisfied
